Quarter end,Assets,Current Assets,Liabilities,Current Liabilities,Shareholders equity,Revenue,Earnings,Earnings available for common stockholders,EPS basic,EPS diluted,Cash from operating activities,Cash from investing activities,Cash from financing activities,Cash change during period,Cash at end of period,Price,ROE,ROA,Book value of equity per share,P/B ratio,Equity to assets ratio,Asset turnover,Current ratio
1996-06-30,-0.08356197117541042,0.08154807240866901,-0.1248955774396403,-0.12473412605554823,-0.08133713822731659,0.3073757488368878,-0.2679446545306383,-0.2679446545306383,-0.26470588235294124,-0.11111111111111116,-0.47033748082011895,1.6193321149424822,-0.664540802700595,-1.3130614779548748,0.4587026920545234,0.009216250092162426,0.12455346511074072,0.07883730656629018,-0.08154362416107386,0.015250544662309462,0.002423859205395784,0.16666666666666674,0.2356784600786228
1996-09-30,-0.08356197117541042,0.08154807240866901,-0.1248955774396403,-0.12473412605554823,-0.08133713822731659,0.3073757488368878,-0.2679446545306383,-0.2679446545306383,-0.26470588235294124,-0.11111111111111116,-0.47033748082011895,1.6193321149424822,-0.664540802700595,-1.3130614779548748,0.4587026920545234,0.009216250092162426,0.12455346511074072,0.07883730656629018,-0.08154362416107386,0.015250544662309462,0.002423859205395784,0.16666666666666674,0.2356784600786228
1996-12-31,-0.06426817160626419,-0.00923880610748029,-0.11836451516267066,-0.1140181722733914,-0.06149443166840862,0.41889971237922685,-0.2965297723453222,-0.2965297723453222,-0.28,-0.11111111111111116,0.6075277108433734,-0.4972144653942905,-0.3314120119737596,-3.1916395421610395,-0.6891815333434892,-0.06852717708942135,0.12455346511074072,0.07883730656629018,-0.0613810741687979,0.015250544662309462,0.002943650126156383,0.16666666666666674,0.11825880907455355
1997-03-31,-0.08282923050378799,-0.1935726798262074,0.8664789080019171,0.8664789080019171,-0.1285546017651088,-0.20642193095687567,0.8179688968838168,0.8179688968838168,0.7777777777777779,-0.11111111111111116,-0.8288990419239068,-0.6975463060714275,-3.8439628482972137,-0.8936579502488513,-0.23579350897248574,-0.23035294117647065,0.12455346511074072,0.07883730656629018,-0.2802646944336319,-0.18025751072961382,-0.0497903563941301,0.16666666666666674,-0.5679445926856066
1997-06-30,0.19344691462404895,1.43031072771296,1.8883815356635654,0.43898854809726684,0.018588759220574902,0.902204692988259,-0.11491112712590712,-0.11491112712590712,-0.28125,-0.11111111111111116,14.631931938752665,5.325638217417588,-164.15250632232997,-24.62465661076936,7.3029897003712865,0.044532762661775305,0.12455346511074072,0.07883730656629018,0.0108166576527855,0.4502617801047122,-0.14649751792608923,0.16666666666666674,0.688933290949548
1997-09-30,-0.0848610013816683,-0.00540865699896409,0.03181134949101616,0.0823404602835569,-0.11899259542205665,-0.17966125747735517,0.03336167841199744,0.03336167841199744,0.04347826086956519,-0.11111111111111116,-0.6454794991419057,-0.29740277292396566,-1.0052816389956838,-1.2713052816357997,-0.23818278950112015,0.06731707317073177,0.12455346511074072,0.07883730656629018,-0.12145532370251466,0.05595667870036092,-0.03735297919090086,0.16666666666666674,-0.08109270810927072
1997-12-31,-0.12912103433226685,-0.06769745448927245,-0.012199671265615275,-0.023344639240754805,-0.1691803231235639,0.6728026231803841,0.2045958217273176,0.2045958217273176,0.20833333333333326,-0.11111111111111116,0.20605643094870563,0.1560601300761928,-0.24776490709787768,0.2625893794667822,-0.39474962793102797,0.051188299817184646,0.29267259635747567,0.07883730656629018,-0.16930572472594407,0.19658119658119655,-0.04591836734693877,0.2619047619047621,-0.045411985018726675
1998-03-31,-0.12947476706771266,-0.21436719219964606,0.029448778756662186,0.05699394864655827,-0.19421287522031516,-0.23455766730309302,0.03183689616616436,0.03183689616616436,0.034482758620689724,-0.11111111111111116,-0.8191837066393487,-0.9995101757902785,-7.543096320793716,-0.7455557591862916,-0.1659507767786359,0.027391304347826217,0.1616972477064218,0.07883730656629018,-0.38269794721407624,0.2371428571428571,-0.07444413171967357,0.18867924528301883,-0.25671284943599804
1998-06-30,1.9624310305011736,4.4405587850547406,-0.5558127889860193,-0.16274114483167323,3.2729821123867007,-0.36386635081922036,0.1370359443999949,0.1370359443999949,-0.09999999999999987,-0.11111111111111116,9.293483899028626,-617.6050251256281,167.46166148062738,-98.28644234730487,19.357083764443782,0.2589928057553956,-0.25341982795092366,-0.15952704012405516,3.261282660332542,1.040415704387991,0.4424509654857838,-0.3015873015873016,5.497999917522372
1998-09-30,-0.06354743681733044,-0.10764958894388676,-0.04712324398407164,-0.04712324398407164,-0.06443597314255844,0.17836541670041983,-0.05585772263333766,-0.05585772263333766,-0.11111111111111116,-0.11111111111111116,-0.6189489139555855,1.7970732915853058,-0.999002529305712,-1.1152147551255456,-0.10955506651499991,-0.3273949579831933,-0.18587079712882504,-0.12845940959409585,-0.06772575250836121,-0.8421052631578947,-0.0009486665963950314,-0.18181818181818188,-0.06352097480484864
1998-12-31,-0.06684467793494486,-0.09360536491895699,0.015252657555719473,0.015252657555719473,-0.07136826999108115,-0.07965285161419011,0.004039504865931187,0.004039504865931187,0.0,0.0,0.670002911856183,-0.5414867493441394,-0.8449029468440099,0.17965672642656427,-0.14513797121931327,-0.08145927036481748,-0.16937354988399078,-0.1325747552262504,-0.07174887892376691,-0.014336917562724039,-0.004853344587465669,-0.3055555555555556,-0.1072234533514953
1999-03-31,-0.04905176654563437,-0.08586155410232532,0.4507626509505709,0.4507626509505709,-0.07916058869313103,0.3482117977075838,0.029664933933559734,0.029664933933559734,0.08333333333333348,0.08333333333333348,-0.45718469988896393,0.740068806960509,-1.0384848484848486,-0.2620159274228492,-0.12529450072637738,0.2519042437431991,-0.1354748603351955,-0.1131787675411835,-0.07954911433172307,0.3490909090909091,-0.03170059372349454,-0.16000000000000003,-0.36989046523808433
1999-06-30,-0.0692556412952563,-0.1135793856382894,0.289243298334495,0.289243298334495,-0.10327963819392239,-0.3483253539070291,0.2913269732257484,0.2913269732257484,0.23076923076923084,0.23076923076923084,0.7844818368807822,-0.1946245637817221,-1430.3897637795276,0.30803706731591873,-0.18736574929166572,0.05128205128205132,0.15831987075928922,0.13794289645682833,-0.10706787963610909,0.14016172506738567,-0.0365706777619621,0.09523809523809534,-0.31244428382122635
1999-09-30,-0.08852847940201725,-0.19540482438289586,0.07174394495576597,0.07174394495576597,-0.11039774062599061,0.11591508173959619,-0.04096360548290612,-0.04096360548290612,-0.03125,-0.03125,-0.029579226271115866,1.277614690713469,-0.21727238924159586,0.2930904021535743,-0.2981425553872251,0.18065316246382812,0.16875871687587174,0.14147521160822252,-0.11246081504702199,0.3238770685579193,-0.023979997727014424,0.04347826086956519,-0.2492728738129446
1999-12-31,-0.006541836135737111,-0.12831778203923205,0.20976323877942082,0.20976323877942082,-0.04209982389252698,0.986284969006572,-0.3979808001884152,-0.3979808001884152,-0.3870967741935484,-0.3870967741935484,0.6705635100264531,-0.33946542426857074,3.586974498646989,0.11424677393093208,-0.4733217308751664,0.5539215686274508,0.03818615751789989,0.004766949152542388,-0.05430463576158928,0.7500000000000002,-0.03574755472752689,0.29166666666666674,-0.2794594720750577
2000-03-31,5.1363210796861045,5.701830328721225,0.14288262624411519,-0.03777862954564781,6.1730143965432935,0.04890721318395319,0.7102101602178597,0.7102101602178597,0.5263157894736841,0.5263157894736841,-0.027027577277973003,51.16506663355283,161.76391892482803,-18.71588514878159,15.921130439918464,1.2604776926543488,-0.5363218390804598,-0.5052714812862414,4.675070028011204,1.389795918367347,0.16894094916072944,-0.4838709677419355,5.964985586110841
2000-06-30,-0.0062241754445755415,-0.4667126792844032,-0.062395892878382764,-0.07411099369578555,-0.004366079102995246,-0.2564592851786296,-0.09618806389662327,-0.09618806389662327,-0.2413793103448275,-0.2413793103448275,0.037528204259845266,-0.23689788521630195,-0.9890505682450025,-1.58751987014536,-0.5527987933100116,-0.2959529505582138,-0.38423401090728804,-0.37080447522642523,-0.018015794669299146,-0.8757472245943638,0.0018595041322313488,-0.25,-0.4240292052271776
2000-09-30,0.004644744160824388,0.014163319968721,0.3978295566176817,0.13106956288846172,-0.007603309385916135,0.20211459869155002,0.1319666359868048,0.1319666359868048,0.13636363636363646,0.13636363636363646,0.04122456160273891,-0.9913734129409406,0.11893632563491208,-0.9332689462080731,-0.08248825240325208,0.3062438057482657,-0.2592592592592593,-0.2531752751905165,-0.012817290776577006,0.3264604810996563,-0.012167457207671761,-0.16666666666666663,-0.10335806735512831
2000-12-31,-0.010707798710524519,0.29210243222785515,0.06587583952626952,0.09792154852098944,-0.014068077020552239,0.1885179111665829,-0.1814041202602854,-0.1814041202602854,-0.19999999999999996,-0.19999999999999996,-0.13620624251109348,-44.264825971253835,-0.9379096106054428,-5.060552772942319,0.3650611590625681,-0.14979406026447006,-0.15326086956521745,-0.1496598639455783,-0.016632722335370054,-0.13730569948186522,-0.0034446764091857762,-0.20000000000000007,0.17686627645204855
2001-03-31,-0.02410371601097372,0.1641371208358935,0.11039495967988211,0.11154268534596223,-0.030483661261928474,-0.55075498881901,0.9479501684603975,0.9479501684603975,1.0499999999999998,1.0499999999999998,0.28835745061650564,0.01175383565979593,2.1537246203508076,-0.05441236629577595,0.2528804773790161,-0.38640999490056094,0.1835686777920411,0.17733333333333334,-0.03167069382119436,-0.37537537537537535,-0.006494186655493839,-0.12499999999999989,0.04731771889418557
2001-06-30,-0.037365758285589856,-0.19016714018504677,-0.029870932851207455,-0.043061340094510014,-0.03777293488874711,-0.3414403591488794,0.12427822297193569,0.12427822297193569,0.07317073170731714,0.07317073170731714,-0.07409702770028137,-1.5957401058499125,0.13938680728004282,-2.178847394463574,-0.23793769417860888,-0.19696654892998133,0.23969631236442512,0.23216308040770084,-0.042242224400677264,-0.17307692307692313,-0.00042171850289929314,-0.14285714285714302,-0.15372420091324202
2001-09-30,-0.03465517192035439,-0.04481425341577994,0.06886808412430923,0.10064731043203956,-0.040325538874985356,0.9632754584765335,0.007949300323142117,0.007949300323142117,0.022727272727272707,0.022727272727272707,0.2492945423059889,-1.1581438836814029,-0.7998903366973759,-0.7086393441601818,-0.09097114775959247,-0.1500646830530401,0.19072615923009617,0.18658088235294112,-0.04429143016655812,-0.11046511627906974,-0.0059065499419892475,0.0,-0.1321632681250755
2001-12-31,-0.04008415259211473,-0.09356177591380144,0.11090537759350605,0.15740289295175147,-0.04929543818240767,0.08488441824067872,0.19390823866135665,0.19390823866135665,0.1777777777777778,0.1777777777777778,-0.1459366708045059,-1.534853103799951,4.8012580242126575,0.28955664169355466,-0.12905250202646268,-0.3105022831050228,0.2725936811168259,0.26568551510457006,-0.049459643656898034,-0.28104575163398693,-0.009549071618037197,-0.16666666666666663,-0.21683163392190996
2002-03-31,-0.07581431749130951,-0.28710570112979505,0.7995829368098992,1.089221307559137,-0.13821798081908143,-0.09388017803982973,1.5671289662743848,1.5671289662743848,1.5849056603773586,1.5849056603773586,-0.5226975781669798,9.409574590845606,-0.9437071583997386,1.0803630401377506,-0.30825745073937005,-0.11346578366445914,0.643187066974596,0.6113831089351285,-0.14134999487862332,-0.06363636363636371,-0.06759507230851636,0.0,-0.6587745147850828
2002-06-30,-0.09539394954341696,-0.2630575719524566,-0.32741636858655965,-0.3841850123916427,-0.06085498658339916,-0.10666323072357842,-0.6124169366875261,-0.6124169366875261,-0.6131386861313869,-0.6131386861313869,4.013785450999922,-1.146125560895347,5.594459102902374,-0.06442400112000057,-0.4169156179505559,-0.3665338645418327,0.11068165846802525,0.09722749715153811,-0.06322318978885832,-0.2621359223300971,0.038258272058823595,0.19999999999999996,0.19669446098868382
2002-09-30,-0.06337038924114557,-0.2554382019442073,-0.08558379423336449,-0.10968004164018375,-0.061002245198894633,0.5662927587078619,-0.056034593012491474,-0.056034593012491474,-0.05660377358490576,-0.05660377358490576,-0.46143398317244877,-1.8534529484888185,0.3794182371063899,-0.30330906218824893,-0.49814630917984015,-0.3160377358490566,0.1053464093641252,0.0931118033921774,-0.08735515089774604,-0.2763157894736842,0.0024344362067059144,0.16666666666666674,-0.16371158392434992
2002-12-31,-0.07224488191398892,0.12433999297781595,-0.11296396618217697,-0.1038446806117399,-0.06801751111536691,-0.38576644331858856,0.2340209423848172,0.2340209423848172,0.19999999999999996,0.19999999999999996,0.12009514810689037,-10.337192543872824,-0.6675813179099542,-1.434718442652521,0.43150701429704874,-0.271264367816092,0.12449914138523188,0.11494616846105132,-0.06808985628575404,-0.20000000000000007,0.004636273319350792,0.1428571428571428,0.2546029384415103
2003-03-31,-0.34410648204842176,-0.162490387657393,0.012746556953402877,0.016606753588308543,-0.3793675328265277,2.9721238614817485,3.2780739184295387,3.2780739184295387,3.2333333333333334,3.2333333333333334,-0.8325299431355949,-0.6686686862816442,-4.01473770549021,-0.3784744623025901,0.18734985326835796,0.3296529968454258,0.643420717739883,0.6483953422323203,-0.38388980386285376,0.4318181818181819,-0.05384023733655652,0.7500000000000002,-0.17616365253483557
2003-06-30,-0.0854739491081068,-0.2524580767943828,-0.03853550694935459,-0.05001505058352629,-0.09304229211244985,-0.2903179910169672,-0.845154589400268,-0.845154589400268,-0.8464566929133859,-0.8464566929133859,2.903754643485163,-1.1083673727391223,-1.32563436864148,-3.5362038290797524,-0.4001831590990619,0.2491103202846976,0.14495895926901015,0.13232253618194334,-0.09307411907654917,1.0317460317460316,-0.008245267680873192,0.4285714285714286,-0.21311357420469268
2003-09-30,-0.0605330640021251,-0.17702427170414492,0.07044231258820743,0.09253153494069699,-0.08292068803216712,0.2395529212549219,-0.12208734878195071,-0.12208734878195071,-0.1282051282051282,-0.1282051282051282,-0.4899360391791797,-0.2762983943666607,4.62528553778876,-0.551930144636329,-0.29894127338466525,0.7853751187084521,0.16529149195184645,0.14242239805234336,-0.2797427652733119,0.96875,-0.023770491803278837,0.40000000000000013,-0.24673008323424495
2003-12-31,0.5186477848738391,2.6634576718731333,0.017695384724119245,0.30979477154717716,0.6185951114436072,0.27958449206098424,-0.11143885927644837,-0.11143885927644837,-0.26470588235294124,-0.26470588235294124,-0.3334130974567444,0.9042859344640877,80.57617983706335,-15.63233615049476,6.239433353236708,0.2643617021276594,-0.014045269878119604,-0.024240809802876906,0.6052827380952381,0.753968253968254,0.06573107832553671,0.3928571428571428,1.7970372169267197
2004-03-31,-0.023748291517596387,-0.11235924485983628,-0.02587047743008386,-0.02587047743008386,-0.023482073326550168,-0.05419351073373868,-0.30629869827045586,-0.30629869827045586,-0.36,-0.36,0.9164949890405059,27.69807107488019,-0.9781627538515293,-1.516211584095538,-0.44490606073372096,0.31426167437946995,-0.6741229102896162,-0.6711711711711712,-0.034994206257242144,-0.18099547511312208,0.00033764772087807593,-0.05128205128205132,-0.08877794660299543
2004-06-30,-0.03791223695439094,-0.030468314391128626,-0.0667994423366488,-0.0667994423366488,-0.03429733672650337,0.08718089928313533,0.09379153961299314,0.09379153961299314,0.125,0.125,-0.444870706600592,-0.7043440240744061,-0.1089319942275232,-0.6841288057382673,-0.25316977685614694,-0.16869398207426378,-0.19400289017341044,-0.18555417185554168,-0.03506243996157543,-0.13812154696132595,0.003712871287128605,0.05405405405405417,0.03892329680800355
2004-09-30,-0.016737519159555125,0.05374334820193338,0.11994025372142203,0.11994025372142203,-0.033265516717141175,-0.2464284799553773,-0.1743747887253324,-0.1743747887253324,-0.16666666666666663,-0.16666666666666663,0.3896084305664005,-1.98891916510616,-0.8006842476709798,-1.3822836225084352,0.12959124631941688,-0.13862148633038118,-0.20573733751680856,-0.19877675840978593,-0.03608760577401704,-0.10897435897435903,-0.01681425849120055,-0.07692307692307698,-0.05910946026505237
2004-12-31,-0.029030796084953958,-0.05032183125734502,-0.1511445934817902,-0.1511445934817902,-0.011923761717708814,1.4386322626964323,-0.3966935713147036,-0.3966935713147036,-0.4,-0.4,-0.7628244846795782,-1.0276454724211788,4.406988823077,-0.9743419290186235,0.0029435969935698303,0.14662494412159144,-0.1805869074492099,-0.180025445292621,-0.016008262328943923,0.19064748201438864,0.01767187321856123,0.2777777777777779,0.11877375962569459
2005-03-31,0.33191124409832473,0.574996889229058,0.2020323274318483,0.2020323274318483,0.34754242942981084,-0.44709969182908305,2.314601428495469,2.314601428495469,2.0000000000000004,2.0000000000000004,1.930603164814623,173.65213437129995,40.6808785374581,155.72779066769786,0.4599894299153069,-0.037816764132553526,0.15426997245179064,0.15981380915438326,0.1558646024665442,-0.02114803625377637,0.011763387855702412,-0.0434782608695653,0.31028098453495967
2005-06-30,-0.028746785257322327,0.029871088506305155,-0.0014824050803805555,-0.0014824050803805555,-0.03167378431802903,-0.050689226055642966,-0.30954150145354886,-0.30954150145354886,-0.37037037037037035,-0.37037037037037035,1.6467970466207316,-1.438610592731613,-0.9859128409358214,-0.37590704849155465,0.19662893107053803,-0.2560777957860616,-0.022076372315035897,-0.019397993311036643,-0.03723041997729859,-0.3580246913580247,-0.003100431845864282,-0.045454545454545525,0.031402210955032706
2005-09-30,-0.05540842875411234,-0.07569741318142897,-0.1257938747706122,-0.1257938747706122,-0.047616520086901426,-0.10823332582343048,0.1987003133493046,0.1987003133493046,0.23529411764705865,0.23529411764705865,-0.04304848369754166,-0.7003269480145414,-0.9376390195406024,-1.2780260690456768,-0.045684979985639806,0.12690631808278874,0.0780964002440514,0.08663028649386084,-0.04833765621315722,0.1730769230769229,0.00833055648117309,-0.023809523809523836,0.05729804654761139
2005-12-31,-0.03557193098306155,-0.01375501245081856,0.14104399665008094,0.14104399665008094,-0.0535189715559794,0.24035027901744677,0.10255141633974696,0.10255141633974696,0.09523809523809534,0.09523809523809534,-0.47304661658234637,-3.5078895384879116,6.250258557626819,5.1738624707785,-0.2955552176129054,-0.14161430642822626,0.1743067345783813,0.17325800376647837,-0.0542616451932606,-0.0983606557377048,-0.01861643533818025,-0.19512195121951215,-0.13565755575542304
2006-03-31,-0.050777057226473854,-0.02779641414025491,0.19712308573846782,0.19712308573846782,-0.08114603909511708,0.05906351673691934,0.4797745386121346,0.4797745386121346,0.4347826086956521,0.4347826086956521,0.15110521531560162,-1.7423811777684786,0.3634690455149572,-1.3167591457052716,0.13289873185313072,0.115427927927928,0.16337349397590373,0.1508828250401284,-0.08671731726486775,0.17727272727272703,-0.03199012234818721,0.06060606060606055,-0.18788359788359787
2006-06-30,-0.01904716565677278,-0.0523151477923941,0.1559578757223743,0.1559578757223743,-0.04697879876816291,-0.017349707278303872,-0.3902832642312255,-0.3902832642312255,-0.3939393939393939,-0.3939393939393939,1.0974381444898493,-2.9735783939922524,0.2520547805384661,-6.3557145734450415,-0.6282712258084253,-0.002019182231196348,0.09776304888152443,0.07903300790330081,-0.05192197360872064,0.09652509652509655,-0.028525046382189334,0.08571428571428585,-0.18018546267943625
2006-09-30,-0.04361019076802908,-0.08515614315971376,-0.016940670592384244,-0.016940670592384244,-0.04877317046744356,-0.3164851286747391,0.03761569219584482,0.03761569219584482,0.04999999999999982,0.04999999999999982,-0.0265911139079128,-1.4838706265026778,-0.12397767130183479,-0.9969802291628096,-0.00510381562381923,-0.1340414769853313,0.06905660377358491,0.046100818612666794,-0.05416036308623284,-0.0880281690140845,-0.005371210312723695,0.026315789473684292,-0.06937748344370853
2006-12-31,-0.05709030531393933,-0.13102227726812277,0.05738363104916955,0.05738363104916955,-0.07999304675469021,-0.015465284539736168,0.36837997400073474,0.36837997400073474,0.38095238095238093,0.38095238095238093,-0.8342703927526094,-0.8748084966122189,-0.5066688070128909,1.3904357990648601,-0.012262931319466208,0.17757009345794406,0.13836921990822448,0.11202635914332792,-0.116122840690979,0.24324324324324342,-0.024360974438977667,-0.05128205128205132,-0.17819020238535765
2007-03-31,0.12165471122493665,-0.023223996298852745,0.3958734706408851,0.23708740901562209,0.05859971729226343,1.0192329401632811,0.19724921668596385,0.19724921668596385,0.1724137931034484,0.1724137931034484,3.7617076045768663,6.509867662500196,10.276413332578802,-20.289902137183482,0.23948756462435927,0.21031746031746046,0.044651162790697585,0.014074074074073906,0.03112558812884547,0.37267080745341596,-0.05621156211562106,0.10810810810810811,-0.21041875930864895
2007-06-30,0.022551743670456093,-0.01804638170188244,0.033197929826404016,0.043867520925414905,0.01932376495815924,0.03581817217730254,-0.15541626831181865,-0.15541626831181865,-0.20588235294117652,-0.20588235294117652,0.37207303399981706,-0.7767088554763718,1.4970872194802078,-1.2544758334083543,-0.04915698868985363,0.4172131147540985,0.10092015434847146,0.07487216946676423,-0.10845910845910844,0.3733031674208145,-0.0031278509057733883,0.09756097560975618,-0.05930865064046309
