,Assets,Current Assets,Liabilities,Current Liabilities,Shareholders equity,Revenue,Earnings,Earnings available for common stockholders,EPS basic,EPS diluted,Cash from operating activities,Cash from investing activities,Cash from financing activities,Cash change during period,Cash at end of period,Price,ROE,Book value of equity per share,P/B ratio,P/E ratio,Equity to assets ratio,Net margin,Asset turnover,Current ratio
11,-0.011662978311289374,-0.019743047571960326,0.09733741570420906,-0.08498127586886539,-0.020651918568508676,0.031303892248248255,-0.12748037116345468,-0.12748037116345468,-0.2222222222222221,-0.2222222222222221,-0.7957563134600365,1.5164376840039253,-0.12055476529160736,5.525898842169409,0.06936049706242864,-0.1653764954257566,0.8546099290780143,-0.023106546854942178,-0.1428571428571429,-0.48642745709828383,-0.00909287724615715,0.8983228511530399,0.0,0.07129497033638255
10,-0.011662978311289374,-0.019743047571960326,0.09733741570420906,-0.08498127586886539,-0.020651918568508676,0.031303892248248255,-0.12748037116345468,-0.12748037116345468,-0.2222222222222221,-0.2222222222222221,-0.7957563134600365,1.5164376840039253,-0.12055476529160736,5.525898842169409,0.06936049706242864,-0.1653764954257566,0.8546099290780143,-0.023106546854942178,-0.1428571428571429,-0.48642745709828383,-0.00909287724615715,0.8983228511530399,0.0,0.07129497033638255
9,-0.002342196735563351,-0.04183611759261752,-0.03447118865558829,0.05740441572428656,0.0006266011781408398,0.031303892248248255,-0.12748037116345468,-0.12748037116345468,-0.2222222222222221,-0.2222222222222221,-0.7957563134600365,1.5164376840039253,-0.12055476529160736,5.525898842169409,0.42328063241106717,-0.1653764954257566,0.8546099290780143,-0.015768725361366642,-0.1428571428571429,-0.48642745709828383,0.0029495302599955586,0.8983228511530399,0.0,-0.0938510223289184
8,0.002317750404633001,0.009102059590126332,-0.06833104709647919,-0.11495891899232702,0.008616893939146886,-0.031898905657981036,-0.7681609947643979,-0.7681609947643979,-0.7142857142857143,-0.7142857142857143,0.502868068833652,-2.526567222384713,1.9041649818034774,-2.236903539079279,-0.3678524813241134,-0.29426644182124795,0.8546099290780143,0.009345794392523255,-0.28205128205128205,-0.48642745709828383,0.006317394619322458,0.8983228511530399,0.0,0.1401723553983365
7,-0.04740849400316982,-0.05770798831102397,-0.1216749445415104,0.1343793156360289,-0.04129196860782092,-0.09659786601364351,-23.384615384615383,-23.384615384615383,-20.5,-20.5,-3.4389312977099236,-1.3252650402350237,-1.0043163464216096,-1.6004076702400725,0.3493827702851118,-0.066905615292712,0.8546099290780143,-0.041005291005290934,-0.0803571428571429,-0.48642745709828383,0.006385972507847004,0.8983228511530399,0.0,-0.16933242677686167
6,-0.0027442371020856005,0.0016580984808378663,0.05936389441451917,0.08667275371140648,-0.007430530610042174,-0.03129386707972315,-0.7674579904788927,-0.7674579904788927,-0.7692307692307693,-0.7692307692307693,-0.9852199617457833,0.1942862752797958,-1.0,-0.22985037092920912,0.1994074749316317,-0.13828425096030716,0.8546099290780143,-0.0096551724137931,-0.09708737864077666,-0.48642745709828383,-0.004624650462464963,0.8983228511530399,0.0,-0.07823613086770986
5,0.0035395864454752513,0.011651865961956442,-0.07129143194716969,-0.05337026202775874,0.009565833493330178,2.4984384759507705e-05,-10.54826464208243,-10.54826464208243,-10.555555555555555,-10.555555555555555,77.96470588235294,-2.993999177969585,inf,-2.424408163265306,-0.2368149615917049,-0.04606240713224374,-2.045889101338432,0.009749303621169991,-0.043010752688172116,-0.48642745709828383,0.005942733657482435,0.0,-0.03703703703703709,0.06869439271673894
4,-0.02065023401718269,-0.03714134928780366,-0.10457085737652783,-0.1575988691278477,-0.01443326382612764,-0.21486034077849403,-0.8231953200431646,-0.8231953200431646,-0.8255813953488372,-0.8255813953488372,-1.7467222884386175,-1.189677206579544,-3.3125,-0.9637228494469597,-0.011256735368911475,0.04517133956386288,0.3564899451553931,-0.015172413793103523,0.04494382022471921,0.0,0.006337271750805673,0.0,-0.07692307692307698,0.14298967408841579
3,0.000913567842411922,0.00876144413718638,0.11665609539515409,0.1733853658536586,-0.006876625450173868,0.03630751606949656,-0.5064246707356248,-0.5064246707356248,-0.5333333333333332,-0.5333333333333332,-1.2416201117318435,-2.3844816344272983,-1.0,7.150078988941548,-0.09278776978417269,0.05961251862891204,0.8733153638814017,-0.007002801120448154,0.07526881720430101,0.0,-0.007791653324794479,0.0,-0.04166666666666663,-0.14029713801743304
2,-0.013727775086997407,-0.017862164811371484,-0.06763910662758732,-0.10366502594119997,-0.009647855840984931,-0.03353087481192618,0.3782948259030263,0.3782948259030263,0.4285714285714286,0.4285714285714286,-2.504541701073493,0.9103610675039246,-inf,1.7840666795890678,-0.2847485180706172,-0.05907172995780585,0.20071942446043156,-0.009873060648801224,-0.06000000000000005,0.0,0.004195352839931221,0.0,-0.0434782608695653,0.09572520462699186
1,-0.0076612020972277595,0.016569040913854804,0.09184618383858068,0.13220288672034441,-0.01475079387953171,0.03895154884829233,-1.2911108487781844,-1.2911108487781844,-1.2,-1.2,-5.2151481888035125,-0.2793162955049716,-0.9543010752688172,-0.9229269651187078,-0.030683519042075558,-0.07772795216741413,-0.7447573397243858,-0.015669515669515577,-0.06382978723404253,0.0,-0.007177289769684014,0.0,-0.045454545454545525,-0.10213011456015353
0,-0.007535792564815291,-0.0034949831403982,-0.01553398058252431,-0.028970308710755677,-0.006904293243907622,0.06382067826671967,-3.1476074614760745,-3.1476074614760745,-4.0,-4.0,-0.8615885416666667,-3.2646522234891675,4.9411764705882355,-19.81029810298103,0.59543621858111,0.16207455429497575,-0.284037558685446,-0.00723589001447178,0.18181818181818188,0.0,0.0006473888649116688,0.0,0.0,0.026235855669414887
