,Assets,Current Assets,Liabilities,Current Liabilities,Shareholders equity,Revenue,Earnings,Earnings available for common stockholders,EPS basic,EPS diluted,Cash from operating activities,Cash from investing activities,Cash from financing activities,Cash change during period,Cash at end of period,Price,ROA,Book value of equity per share,P/E ratio,Cumulative dividends per share,Net margin,Asset turnover,Current ratio
33,0.0028560628333822446,-0.013598625823074695,-0.0058866348071019425,0.0025779235997187566,-0.02788353863381854,0.0009931719428926122,-0.04583333333333328,-0.04583333333333328,-0.18518518518518523,-0.17307692307692313,-0.18518518518518523,0.9743589743589745,-0.5566600397614314,-1.0985915492957747,-0.025316455696202556,0.018170619032953583,-0.507563025210084,-0.03060046189376453,-0.004282655246252598,inf,0.025547445255474477,0.0,-0.01612509161983877
32,0.0028560628333822446,-0.013598625823074695,-0.0058866348071019425,0.0025779235997187566,-0.02788353863381854,0.0009931719428926122,-0.04583333333333328,-0.04583333333333328,-0.18518518518518523,-0.17307692307692313,-0.18518518518518523,0.9743589743589745,-0.5566600397614314,-1.0985915492957747,-0.025316455696202556,0.018170619032953583,-0.507563025210084,-0.03060046189376453,-0.004282655246252598,inf,0.025547445255474477,0.0,-0.01612509161983877
31,-0.005067638313020928,-0.028733130169786625,0.044793225303237705,-0.0016362786348761427,0.1742886764197673,-0.001612303112985214,-0.7336244541484715,-0.7336244541484715,-0.7272727272727273,-0.7441860465116279,0.17647058823529416,-0.20593692022263455,1.8340807174887894,11.857142857142858,-0.33395176252319114,-0.21415607985480944,-0.507563025210084,0.39070875521143544,-0.004282655246252598,inf,0.025547445255474477,0.0,-0.02712937670722626
30,0.1322613234551271,0.08068130883012103,0.03333536473886278,0.30039803324748293,-0.18991563664900923,0.03577639751552786,30.721311475409838,30.721311475409838,35.916666666666664,37.63636363636363,0.5761363636363637,3.100467289719626,-1.6044303797468356,-1.0777777777777777,0.03899721448467974,-0.14780600461893767,-0.507563025210084,-0.19186295503211992,-0.004282655246252598,inf,0.025547445255474477,0.0,-0.16897453895730963
29,0.008959773960889317,0.006774505737591641,0.016247935833923144,0.010983075261073116,0.04298861709857116,0.10326217318301745,-0.7209302325581395,-0.7209302325581395,-0.7223476297968396,-0.7223529411764706,-0.4253785147801009,-0.750997150997151,-1.6858638743455496,6.0,0.2627345844504021,0.12059620596205956,-0.507563025210084,0.040275569687334256,-0.004282655246252598,inf,0.025547445255474477,0.0,-0.00414651002073263
28,-0.00025793139025021006,-0.019912112057127174,-0.01125845109247603,-0.029919857524488003,-0.04295831882038781,-0.005000543537341029,-0.2759259259259259,-0.2759259259259259,-0.2764227642276422,-0.2796610169491526,0.8318695106649938,0.027459954233409523,2.6793893129770994,-0.5204081632653061,0.0997876857749469,0.1180975413139862,-0.507563025210084,-0.046867040244523595,-0.004282655246252598,0.0,0.025547445255474477,0.0,0.010332330943018109
27,0.006265664160401085,0.018915510718789497,-0.006162876008804163,0.0760051404442812,-0.0465849811961665,-0.028405987108051978,-0.07928388746803072,-0.07928388746803072,-0.07865168539325851,-0.08235294117647052,-0.5513698630136986,0.011135857461024523,-0.7437759336099585,-1.978723404255319,-0.08880308880308885,0.03568853640951697,-0.507563025210084,-0.048637092463923004,-0.032258064516129115,0.0,0.07591933570581255,-0.007575757575757569,-0.053117606654964566
26,0.028312944106658744,0.06751925192519259,0.0753285102613317,0.05306261730080197,0.22916401577808876,0.07252895535814696,-0.12777777777777777,-0.12777777777777777,-0.13414634146341464,-0.1282051282051282,0.9282442748091604,0.5925110132158591,0.2429149797570851,-6.065217391304348,0.4936440677966101,0.08318830490776197,-0.507563025210084,0.22359550561797747,-0.020000000000000018,2.25,-0.5192943770672547,0.022900763358778553,0.013782542113323304
25,-0.006874443455031187,0.0030915883034909886,-0.014334358523725887,-0.029325988334413466,-0.0348861283643892,-0.03606626127070667,0.09554140127388533,0.09554140127388533,0.08450704225352124,0.08823529411764697,-0.4140934283452098,-0.4840940525587828,0.5570032573289903,-1.4763948497854078,-0.1574468085106383,0.14974293059125965,-0.1279863481228669,-0.04040404040404055,1.3242630385487528,0.0,-0.12155963302752293,-0.007462686567164201,0.03339163619017338
24,0.0018650025105801937,0.0005136766405546833,-0.013233409483479175,0.004840594224670314,-0.05363080553469912,0.03034587774635633,0.22965116279069764,0.22965116279069764,0.23376623376623362,0.22972972972972983,0.10000000000000009,0.11796246648793574,0.10669456066945604,0.18918918918918926,-0.2222222222222222,0.0790944661822246,0.013698630136986356,-0.05598086124401902,0.23512195121951218,0.0,0.01305483028720622,0.0,-0.004308355131558694
23,0.016431588744898695,-0.002567064561673771,0.000508201812586373,-0.0998338870431894,-0.050663039782386954,-0.00654491713290406,-0.1371158392434988,-0.1371158392434988,-0.13684210526315788,-0.13186813186813184,0.10565110565110558,1.1199040767386093,-1.011342155009452,-1.1666666666666667,0.04761904761904767,0.01424501424501412,-0.00579150579150578,-0.052204764318297014,-0.005529225908372903,0.0,-0.010309278350515538,0.007518796992481258,0.10802039870190083
22,0.01542633747754718,0.03422982885085579,0.009086547958348623,0.05093190625576671,-0.012655205348615084,0.058548507066199074,0.16164383561643825,0.16164383561643825,0.1707317073170731,0.17721518987341778,0.3622222222222222,-0.23981900452488691,-105.0,-4.181818181818182,-0.14462809917355368,0.1762002042900921,0.06990291262135928,0.0037433155080213165,0.17235901509134233,0.0,0.06510416666666674,0.00746268656716409,-0.01589958158995808
21,0.03392182026291146,0.10451661067562523,0.014457898710814154,0.034416154521510034,-0.05344619105199522,-0.02800642441276857,-0.18160377358490565,-0.18160377358490565,-0.1874999999999999,-0.18279569892473124,-0.6386623164763459,-0.39136904761904767,-1.6442307692307692,-7.228571428571429,1.0531400966183573,0.0714285714285714,-0.016333938294010975,-0.06180074587107087,-0.008130081300812941,0.0,-0.009779951100244433,-0.007407407407407418,0.06781462585034004
20,0.000436109899694781,-0.01182832037850623,0.0036939023045539088,0.0006790018672551135,0.02069494123658666,0.02840028916658066,0.3919308357348703,0.3919308357348703,0.41025641025641035,0.4078947368421053,1.8216704288939054,0.1124694376528117,-3.455223880597015,-1.4403669724770642,-0.22588235294117642,0.0774062816616008,0.022140221402213944,0.04940374787052826,0.07103825136612008,0.0,0.024691358024691468,0.0,-0.012542305395182085
19,0.00010059687479047064,-0.027929776561787523,-0.015572644877780872,-0.044614079728583556,-0.07584480600750942,0.0020084354288010253,0.07246376811594213,0.07246376811594213,0.09090909090909083,0.08411214953271018,-0.09760000000000002,0.4241758241758242,-0.36879432624113473,-0.25520833333333337,-0.21732522796352582,0.19936054165883021,0.08122743682310474,-0.07846320346320346,0.14540816326530615,0.0,0.07951807228915664,0.0,0.017473118279569988
18,0.04606873428331926,0.047261639498064945,0.05172558100605418,-0.026988636363636354,0.06906825568797403,0.049108037682902284,0.01737451737451745,0.01737451737451745,0.025000000000000133,0.01724137931034475,0.4423758865248226,1.1697530864197532,-0.7271268057784912,-1.3566433566433567,0.09902912621359228,0.0845225027442369,0.03839732888146896,0.10217263652378139,-0.017817371937639215,0.0,0.044642857142857206,-0.007462686567164201,0.07635402906208721
17,0.0028526555338312942,0.022396416573348343,-0.004960606944849677,0.3087591240875913,-0.03470990625791737,-0.013947267863966384,0.12144212523719156,0.12144212523719156,0.14634146341463405,0.15254237288135597,-0.3743085433312846,-0.6927453769559033,2.3294117647058825,-0.607843137254902,0.035335689045936425,0.04872758820127254,0.11575562700964648,-0.020245071923281732,-0.014172335600907027,0.0,0.11111111111111094,0.0,-0.218826705940108
16,0.013487599079519352,0.01785323110624315,0.004132231404958775,-0.12018962632459562,-0.0280839895013123,0.05909707421042443,-0.14213197969543145,-0.14213197969543145,-0.13475177304964536,-0.13235294117647067,0.03831041257367396,0.33564814814814814,-0.3056537102473498,3.3499999999999996,0.1484641638225257,0.1451813042878809,-0.004322766570605263,-0.029907558455682492,0.0011500862564692849,0.0,-0.011538461538461497,0.007518796992481258,0.1568735271013355
15,0.00586565752128676,-0.007747767136554451,0.0011416434355502325,0.0004754358161647154,-0.015122873345935761,-0.09842663739480428,-0.11439842209072981,-0.11439842209072981,-0.11475409836065564,-0.11016949152542366,0.0416272469252601,0.07798960138648181,0.43511450381679384,-1.9770114942528736,-0.1263001485884101,-0.16084758006260536,-0.04775687409551377,0.002802690582959677,-0.17978173463526714,0.0,-0.029182879377431914,-0.014925373134328401,-0.008216201534596346
14,0.026586405818911363,0.0011929291833856492,0.028694176302110908,-0.12624742594645966,0.041815190567589866,-0.13068181818181823,0.29621380846325174,0.29621380846325174,0.32407407407407396,0.33333333333333326,0.4150772025431426,0.5305466237942122,-0.19680851063829785,-2.8,0.26020408163265296,0.038163558106169226,0.013677811550151908,0.06987143655673567,0.062324929971988796,0.0,0.07615230460921829,-0.06060606060606066,0.1458989456387787
13,0.000977278279990168,-0.0033578856152512992,-0.0003866976024748947,-0.021392313270485852,-0.005658639294644052,0.19747899159663862,0.1924398625429553,0.1924398625429553,0.22377622377622375,0.20714285714285707,-0.10205391527599483,-0.4789915966386554,0.7483443708609272,-0.27450980392156865,0.1497975708502024,-0.03911000552791599,0.0359820089955023,0.00940438871473348,-0.08174027686222807,0.0,0.04841713221601496,-0.008064516129032251,0.018402342116269343
12,0.01308884549670486,-0.011520486903597416,0.023932946486137974,-0.0003705075954056891,0.07292218104817372,0.005750487329434728,-0.05187319884726227,-0.05187319884726227,-0.02857142857142858,-0.023668639053254448,-0.035739814152966454,1.1350806451612905,-0.4305555555555556,-2.4504504504504503,-0.18896713615023475,0.1326046310944915,0.05643994211287984,0.10817805383022772,0.06245513280689163,0.0,0.08525754884547077,-0.0325203252032521,-0.0111469639190378
11,-0.0023490438187020457,-0.027707531610775105,-0.010402236606805504,-0.044662713120830255,-0.04243246577032189,-0.004748522143618539,-0.06079027355623101,-0.06079027355623101,-0.04117647058823537,-0.036363636363636265,-0.10600444773906592,-0.3588290840415487,0.19955654101995557,-0.9130434782608696,-0.02026049204052094,-0.015619047619047643,0.0602739726027397,-0.03222793087342368,-0.09527027027027024,0.0,0.05891980360065463,0.008403361344537785,0.017739543162266447
10,0.01904790654149191,0.027479362207395663,0.0025706286586917315,0.1317167798254122,-0.0593842586628881,0.03612463485881201,0.48867313915857613,0.48867313915857613,0.5153374233128836,0.5031446540880504,0.4087893864013268,0.4815905743740796,0.3382624768946396,1.2142857142857144,-0.04579025110782864,-0.03650670794633637,0.12403100775193798,-0.04777992277992271,-0.11874533233756535,0.0,0.07727975270479148,0.04166666666666674,-0.09210679724845527
9,0.0010960364950529655,-0.005392912172573205,-0.006067375796501739,-0.06359273225917039,-0.039030402629416594,-0.0016915703411333194,-0.283695652173913,-0.283695652173913,-0.27935222672064786,-0.2719665271966527,-0.2466156562683932,-0.3349900596421471,-0.30386740331491713,-4.451612903225806,0.16563467492260053,0.10162002945508108,-0.019540229885057436,-0.03091738469336036,-0.0474576271186441,0.0,-0.021520803443328518,0.0,0.06215487350712734
8,0.02281402574345326,0.03319685736416944,0.012591949325704954,0.05637927878455051,-0.032064985036340365,0.010354890332297861,-0.003034901365705611,-0.003034901365705611,0.00561797752808979,0.005747126436781658,0.09687500000000004,0.37817638266068765,0.051587301587301626,-1.4485981308411215,-0.06374501992031878,0.03852698104035013,-0.010550996483001174,-0.01673640167364021,0.03113879003558706,0.0,-0.010263929618768208,0.0,-0.0219441421835328
7,0.033703639414453423,0.011888186783763466,0.02905788876276949,-0.027724831051810783,-0.0017667844522968323,-0.0034473120283238234,-0.35159817351598177,-0.35159817351598177,-0.34078212290502796,-0.34285714285714286,-0.28205128205128205,0.7147505422993492,-2.1056603773584905,-1.2708333333333333,0.018439716312056653,-0.04294909303686367,-0.08530805687203791,0.018617021276595702,-0.05522001725625547,0.0,-0.07555555555555571,-0.008000000000000007,0.04073181284380989
6,0.024124709635890307,0.055990685859441225,0.019388680540235903,0.09748707895205855,0.0038348082595869304,0.08096484667165305,0.11267605633802824,0.11267605633802824,0.15254237288135597,0.1304347826086958,0.7202380952380953,-0.2998102466793169,-2.046075085324232,0.07692307692307687,0.01949860724233976,-0.012717045732453025,-0.183937823834197,0.015665796344647598,0.049315068493150704,0.0,-0.1858974358974359,0.0,-0.03777170685354547
5,0.019293307463176035,0.04149543951087509,0.0034865826680772205,0.21435531016563814,-0.08257419923596832,-0.01202214149801073,1.4135021097046412,1.4135021097046412,1.3970588235294112,1.4461538461538463,-0.2502883506343714,-0.6973803071364046,-0.0032626427406199365,24.285714285714285,0.48360655737704916,0.18751548179341104,0.18888888888888888,-0.08071979434447307,0.40469973890339417,0.05384615384615388,0.1968503937007875,-0.008064516129032251,-0.14238982841624503
4,0.011876994021287501,0.0002887113848522027,0.0032108882658807847,0.01965766247659806,-0.040839205637411946,0.009279523767836917,-0.28321678321678323,-0.28321678321678323,-0.27914110429447847,-0.2735849056603774,0.2038461538461538,1.9253731343283582,0.3044189852700492,-1.5988700564971752,-0.20073664825046045,0.05277430120984561,0.037383177570093684,-0.03187919463087252,-0.15241635687732347,0.051094890510948954,0.041118421052631415,0.0,-0.018999640158330333
3,0.008001695723597102,-0.03694439099480473,-0.0022213198939499135,-0.18281967213114758,-0.06411754883953913,-0.006765547749154277,-0.07439024390243898,-0.07439024390243898,-0.06382978723404253,-0.06926406926406936,0.09968051118210863,0.3265306122448979,-0.11417816813048931,0.3679245283018868,-0.3341013824884793,0.1921933822072519,0.09909909909909898,-0.05892547660311953,0.10818713450292394,0.04861111111111116,0.09952606635071093,0.0,0.17856356833687914
2,0.030569866470402607,0.020279720279720248,0.008402355532149075,0.21473278767453063,-0.11685994647636044,0.07187145227491043,0.40184453227931494,0.40184453227931494,0.4045454545454543,0.3999999999999999,0.2638001162115049,-0.010769230769230753,0.3611898016997168,-0.7379310344827585,-0.13148788927335642,0.09331892969918565,0.1651053864168619,-0.11233885819521172,-0.02902374670184693,0.04635761589403975,0.16522988505747138,0.0,-0.1600995953937131
1,0.10640956971969295,0.0,0.08329970326409497,0.0,-0.1204040404040404,-0.992993319211341,-0.023496240601503793,-0.023496240601503793,-0.01941747572815533,-0.013289036544850363,-0.552183908045977,0.6835147744945567,-2.2653485952133194,-1.381578947368421,0.05776892430278879,0.005852397963061584,-0.0653266331658292,-0.1203319502074689,-0.15557065217391308,0.05063291139240511,0.2848335388409371,-0.2764227642276422,0.0
0,0.04771894234537455,0.26006070694213257,0.03473287461103558,0.1839080459770115,-0.10381258612769861,-1.0,-0.246390760346487,-0.246390760346487,-0.24422442244224418,-0.24242424242424243,1.0503080082135523,-0.5621247113163972,-0.29769736842105265,64.62068965517241,3.576271186440678,-0.0680822124829984,-0.05591397849462365,-0.10062893081761015,-0.04987932421560737,0.04819277108433728,0.0,-0.3595505617977529,0.06432965241236199
